barrage,"('2003', '05')",16
barrage,"('2003', '06')",84
barrage,"('2003', '07')",25
barrage,"('2003', '08')",21
barrage,"('2003', '09')",14
barrage,"('2003', '10')",6
barrage,"('2003', '11')",22
barrage,"('2003', '12')",17
barrage,"('2004', '01')",5
barrage,"('2004', '11')",1
barrage,"('2005', '10')",132
barrage,"('2005', '11')",62
barrage,"('2005', '6')",3
barrage,"('2005', '9')",154
barrage,"('2006', '0')",92
barrage,"('2006', '1')",208
barrage,"('2006', '2')",396
barrage,"('2006', '4')",137
barrage,"('2006', '5')",75
barrage,"('2006', '7')",32
barrage,"('2013', '10')",110
barrage,"('2013', '11')",45
barrage,"('2014', '0')",105
barrage,"('2014', '1')",280
barrage,"('2014', '10')",105
barrage,"('2014', '11')",100
barrage,"('2014', '2')",87
barrage,"('2014', '3')",51
barrage,"('2014', '4')",119
barrage,"('2014', '5')",127
barrage,"('2014', '6')",33
barrage,"('2014', '7')",45
barrage,"('2014', '8')",49
barrage,"('2014', '9')",180
barrage,"('2015', '0')",75
barrage,"('2015', '1')",82
barrage,"('2015', '2')",37
classic,"('2003', '05')",1053
classic,"('2003', '06')",1330
classic,"('2003', '07')",763
classic,"('2003', '08')",904
classic,"('2003', '09')",1102
classic,"('2003', '10')",853
classic,"('2003', '11')",976
classic,"('2003', '12')",1541
classic,"('2004', '01')",355
classic,"('2004', '11')",43
classic,"('2005', '0')",11
classic,"('2005', '1')",10
classic,"('2005', '10')",3373
classic,"('2005', '11')",3423
classic,"('2005', '2')",14
classic,"('2005', '3')",11
classic,"('2005', '4')",1
classic,"('2005', '5')",5
classic,"('2005', '6')",7
classic,"('2005', '7')",2
classic,"('2005', '8')",7
classic,"('2005', '9')",3288
classic,"('2006', '0')",3927
classic,"('2006', '1')",3556
classic,"('2006', '2')",3148
classic,"('2006', '4')",2394
classic,"('2006', '5')",2448
classic,"('2006', '7')",1822
classic,"('2013', '10')",1040
classic,"('2013', '11')",761
classic,"('2014', '0')",814
classic,"('2014', '1')",771
classic,"('2014', '10')",1140
classic,"('2014', '11')",1059
classic,"('2014', '2')",779
classic,"('2014', '3')",856
classic,"('2014', '4')",730
classic,"('2014', '5')",877
classic,"('2014', '6')",824
classic,"('2014', '7')",755
classic,"('2014', '8')",915
classic,"('2014', '9')",979
classic,"('2015', '0')",924
classic,"('2015', '1')",971
classic,"('2015', '2')",794
duel,"('2014', '10')",7
duel,"('2014', '3')",2
duel,"('2014', '4')",7
duel,"('2014', '6')",2
duel,"('2014', '8')",8
duel,"('2014', '9')",5
duel,"('2015', '1')",1
free,"('2003', '07')",1
free,"('2003', '08')",5
free,"('2003', '09')",3
free,"('2003', '10')",1
free,"('2003', '11')",6
free,"('2003', '12')",2
free,"('2004', '01')",1
free,"('2004', '11')",1
free,"('2005', '10')",23
free,"('2005', '11')",12
free,"('2005', '3')",1
free,"('2005', '5')",3
free,"('2005', '6')",3
free,"('2005', '9')",3
free,"('2006', '0')",3
free,"('2006', '1')",13
free,"('2006', '2')",14
free,"('2006', '4')",4
free,"('2006', '5')",6
free,"('2006', '7')",8
free,"('2013', '10')",2
free,"('2013', '11')",4
free,"('2014', '0')",2
free,"('2014', '10')",1
free,"('2014', '11')",17
free,"('2014', '2')",2
free,"('2014', '3')",1
free,"('2014', '4')",2
free,"('2014', '5')",1
free,"('2014', '6')",3
free,"('2014', '7')",2
free,"('2014', '8')",4
free,"('2014', '9')",5
free,"('2015', '0')",4
free,"('2015', '1')",21
free,"('2015', '2')",3
ultimate,"('2003', '05')",98
ultimate,"('2003', '06')",39
ultimate,"('2003', '07')",6
ultimate,"('2003', '08')",15
ultimate,"('2003', '09')",67
ultimate,"('2003', '10')",16
ultimate,"('2003', '11')",17
ultimate,"('2003', '12')",37
ultimate,"('2004', '01')",4
ultimate,"('2005', '10')",35
ultimate,"('2005', '11')",21
ultimate,"('2005', '5')",3
ultimate,"('2005', '9')",44
ultimate,"('2006', '0')",23
ultimate,"('2006', '1')",16
ultimate,"('2006', '2')",10
ultimate,"('2006', '4')",30
ultimate,"('2006', '5')",15
ultimate,"('2006', '7')",7
ultimate,"('2013', '10')",1
ultimate,"('2014', '1')",4
ultimate,"('2014', '2')",7
ultimate,"('2014', '3')",8
ultimate,"('2014', '4')",5
ultimate,"('2014', '5')",8
ultimate,"('2014', '6')",10
ultimate,"('2014', '7')",4
ultimate,"('2014', '8')",4
ultimate,"('2014', '9')",1
