game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
barrage-2006.2-4949,.xml,barrage,LAAAAAAAEAAAAAAACAAKAABAAAAAAADAAAAAMADAAA__AA__AAAA__AA__AAAAPAAAAAAAPAAAXAAAAAAAAYAAAOQAWAAAAAANAA,38,Player 1,Player 2,1,2
barrage-2014.9-2054,.xml,barrage,AAAMACBAAAAEAAAAAAAAAAAAAAAAAADAAALAAAKDAA__AA__AAAA__AA__AAXPAAPWAAAAAAAAAAAAAAQOAAAAAAAAYNAAAAAAAA,63,Player 1,Player 2,1,1
barrage-2014.1-492,.xml,barrage,BDAAAAAAAADAAAAAAAAAAAAAAAAAAACKAALMAAEAAA__AA__AAAA__AA__AAXAAAOPAAWPAAAAAAAAAANAAAAAAAAAYQAAAAAAAA,2,Player 1,Player 2,1,2
barrage-2013.10-438,.xml,barrage,AAAAAAAADDAAAAAAAALMAAAAAAAAABAAAAKCAAEAAA__AA__AAAA__AA__AAAAAAAQXYPWAAAAAPANOAAAAAAAAAAAAAAAAAAAAA,106,Player 1,Player 2,1,2
barrage-2014.9-801,.xml,barrage,BDAAAAAAAADAAAAAAAAAAAAAAAAAAACKAALMAAEAAA__AA__AAAA__AA__AAPAAANAAQOYAAAAWAAAXAAAAAAAAAAAAAAAAAAAAP,69,Player 1,Player 2,1,1
barrage-2014.8-1997,.xml,barrage,AAADMBAAAAAALACAKAAAAAAAEAAAAAAAAADAAAAAAA__AA__AAAA__AA__AAAAAAAAOWAXAAAAAAAAAPAAAAAAAAQPAAAAAAAANY,114,Player 1,Player 2,0,2
barrage-2006.2-210,.xml,barrage,AAAAAAAAAAAAAAADAAAAAAAAECKAAAAAAADLBMAAAA__AA__AAAA__AA__AAAAAPAAAOAAAAAAAAAAWXAAAAAAAAQYAAAAAAAAPN,10,Player 1,Player 2,1,2
barrage-2006.5-3629,.xml,barrage,MBAAAAAAAAAAAAAAAADADAACAAAAAALAEAKAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAPPQAAAAAAAWONAAAAAAAYXAAAAAAAA,7,Player 1,Player 2,3,1
barrage-2014.1-153,.xml,barrage,AAAAAAAABMAAAAAAADEKAAAAAAAALDAAAAAAAAACAA__AA__AAAA__AA__AAWOAAPAAAQAAAAAAAAAAANAAAAPAAAAYXAAAAAAAA,53,Player 1,Player 2,3,2
barrage-2006.5-6623,.xml,barrage,DKAAAAEALMAAAAAAAAABAAAAAAAAAADAAAAACAAAAA__AA__AAAA__AA__AAAAAAAANYXPAAAAAAAWOAAAAAAQAAAAAAAAAAAPAA,66,Player 1,Player 2,0,1
barrage-2005.10-7695,.xml,barrage,CDAAAAAAAAMEAAAAAAAABDAAAAAAAALKAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAAAQONAAAAAAPPWYXAAAAA,78,Player 1,Player 2,0,2
barrage-2014.0-2928,.xml,barrage,BMAAAAAAAADAAAAAAAAAAAAAAAAAAACLAEKDAAAAAA__AA__AAAA__AA__AAWAAAAAAAAAOXAAAAAAAAYPAAAAAAAANPAAAAAAAQ,35,Player 1,Player 2,1,1
barrage-2014.4-1418,.xml,barrage,AAAAAAAAEMAAAAAAAALCAAAAAAAAAAAAAADDAABKAA__AA__AAAA__AA__AAAAAAAXPAOPAAAAAAAAAAAAAAAAAAWNAAAAAAAAQY,153,Player 1,Player 2,1,1
barrage-2014.0-2842,.xml,barrage,BMAAAAAAAAEDAAAAAAAAKAAAAAAAAALACDAAAAAAAA__AA__AAAA__AA__AAAQAAAAAAAAWXAAAAAAAAOPAAAAAAAAYNPAAAAAAA,71,Player 1,Player 2,3,1
barrage-2006.5-810,.xml,barrage,AAAAAAAAAAAAAAAAAAAAADLECAAAAAABMKDAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAPAXAAAAAAAOPAAAAAAAAYNQAWAAAAA,6,Player 1,Player 2,3,1
barrage-2014.1-1251,.xml,barrage,ADAAAAEAAAAADAAAAMAAAAAAAAAAAACLAABKAAAAAA__AA__AAAA__AA__AAXAAAWOAAPAAAAAAAAAAANQAAAAAAAAYPAAAAAAAA,21,Player 1,Player 2,3,1
barrage-2006.1-3250,.xml,barrage,DAAAAAAAEMDAAAAAAKCBAAAAAAAALAAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAPAPAAAAAAAAAAAAAAAXNAQOAAAAAWY,31,Player 1,Player 2,3,2
barrage-2005.9-7573,.xml,barrage,AAAAAAABDMAAAAAAAAECAAAAAAAAADAAAAAAAALKAA__AA__AAAA__AA__AAPPAAAAAOQAAAWXAAAAAAAAAAANYAAAAAAAAAAAAA,21,Player 1,Player 2,1,1
barrage-2014.0-2894,.xml,barrage,AAAAAAADEMAAAAAAADCBAAAAAAAKLAAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAOWAAAXAAAAAAAPPAAAAAAAAAAYAAAAAAAAQN,54,Player 1,Player 2,1,2
barrage-2014.6-1009,.xml,barrage,MEAAAAAAAABAAAAAAAAAADAAAAAAAALDAKCAAAAAAA__AA__AAAA__AA__AAPXAAWAAAAAYAAAAAAAAAAOAAAAAAAANQPAAAAAAA,51,Player 1,Player 2,0,2
barrage-2006.2-2947,.xml,barrage,AAAAAAAADAAAAAAAAAAAAAAAAAAADAAKCBMLAAAEAA__AA__AAAA__AA__AAAAAAANXAAAAAAAAWYAAAAAAAQOPPAAAAAAAAAAAA,14,Player 1,Player 2,1,2
barrage-2006.1-1848,.xml,barrage,MBEAADAAADKCAAAAAAAALAAAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAXAPAAAAAAAPAAAAAAAAAOWAAAAAAAAYQNAAAAAAA,78,Player 1,Player 2,3,2
barrage-2014.1-1040,.xml,barrage,CDAAAAAAAADAAAAAAAAAAAAAAAAAAAMEAAKLAABAAA__AA__AAAA__AA__AAAAAAAAPOAPAAAAAAAAAXAAAAAAAAWQAAAAAAAANY,42,Player 1,Player 2,1,2
barrage-2014.4-554,.xml,barrage,ABMKAAAAAAAAEAAALAAAAAAAACADAAAAAAAADAAAAA__AA__AAAA__AA__AAPXAANQAAAAAAAAAAAAAAWOAAAAAAAAYPAAAAAAAA,32,Player 1,Player 2,3,2
barrage-2014.1-1820,.xml,barrage,AAAAAAAABMAAAAAAAADDAAAAAAALEAAAAAAAAAKCAA__AA__AAAA__AA__AAWOAAXAAAPAAQAAAAAAAANAAAAAAAAAYPAAAAAAAA,160,Player 1,Player 2,1,2
barrage-2014.8-164,.xml,barrage,AAABDAMAAAKAAAAAAAAAAAAAAAAAAAALAAACAADEAA__AA__AAAA__AA__AAANAAQXAAOWAAAAAAAAAAAAAAAAAAAYAAAAAAAAPP,14,Player 1,Player 2,3,2
barrage-2006.2-1688,.xml,barrage,AAAAAAADAAAAAAAAAAAAAEAAABMAAAAALAAAKDACAA__AA__AAAA__AA__AAAAAANXAAQOAAYAAAAAAAPAAWAAPAAAAAAAAAAAAA,46,Player 1,Player 2,1,2
barrage-2006.4-4851,.xml,barrage,BAAAAAAADCMKAAAAAAAELAAAAAAAAAAAAAAADAAAAA__AA__AAAA__AA__AAAAXAAAAAAAAAOAAAAAAANWAAAAAAAAYQPPAAAAAA,87,Player 1,Player 2,1,1
barrage-2006.1-9146,.xml,barrage,AAAAAAAALMAAAAAAADDEAAAAAAAKBCAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAAOQAAAAAANPYXAAAAAAPW,63,Player 1,Player 2,1,1
barrage-2005.9-7280,.xml,barrage,AAAAAAAEBMAAAAAAAACKAAAAAAAADLAAAAAAAAADAA__AA__AAAA__AA__AAOAAAAAYAAXAAAAWAAAQAAAPAAAAAAANAAAAAAPAA,75,Player 1,Player 2,1,1
