game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
ultimate_lightning-2014.6-1227,.xml,ultimate lightning,AAJDAAAHAALAFEAFAKABAGIDDAAEAADCBMAAGAAHAA__AA__AAAA__AA__AAYRAAAWPAPPAAAAAANSSOATVARAAATAAAQAUAXPQN,22,Player 1,Player 2,3,2
ultimate_lightning-2006.7-2399,.xml,ultimate lightning,AAAAAADHFEAAAADDAAHDAABALAAAFEAJBMGKCAIGAA__AA__AAAA__AA__AARAAAPAAAAAAQSTSVAAAAANUONXPAAAATPYWRQPAA,61,Player 1,Player 2,1,1
ultimate.2003.05.29.316,.gsn,ultimate lightning,DFEDHAHAABFADAALMBDEAIAAAAACJAAGKAAAAAGAAA__AA__AAAA__AA__AAAAAAAAAAAASXTAASTVARQRNOAAWPPUYPNAQAPAAA,133,red,blue,1,1
ultimate_lightning-2006.5-1347,.xml,ultimate lightning,MBDGHEEDCDBLHFIFGDKJAAAAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAPSAAAAAAXPNRTPAAAARTWOQVAAAANSYAAAAPAAQU,275,Player 1,Player 2,0,2
ultimate_lightning-2005.10-595,.xml,ultimate lightning,AAADDJBBIMAAAAAEFHCDAAAAAAGDHKAAAAAAELFGAA__AA__AAAA__AA__AASWXTAAUOVQAAAPAATAAAAARYAAPSAAAAPNRQNPAA,217,Player 1,Player 2,3,1
ultimate.2003.12.03.2009,.gsn,ultimate lightning,EHAADDAFBMEAAADAHAFBAAAAAAAAAKJGACIGAALDAA__AA__AAAA__AA__AASAXAPAWAOAASAPAQAQARNAPATATARAAVAYAUAPAN,92,red,blue,1,2
ultimate_lightning-2006.4-5195,.xml,ultimate lightning,MBEAAAAAAABJFAAAAADFEDCAAAAGHDDLAKAAAHGIAA__AA__AAAA__AA__AAAAVTAAWSAAPAAXAAOAAQPTAAAAAAURSRYAPPAQNN,107,Player 1,Player 2,1,1
ultimate_lightning-2005.10-4652,.xml,ultimate lightning,ADDBEDAAADAACMEABAAAHAGHAALAJGAFKAIAAAFAAA__AA__AAAA__AA__AAAAAAAAAAWXAAAAASATATQAAUNRVPRSPAAPAPOQNY,108,Player 1,Player 2,1,2
ultimate_lightning-2005.10-5310,.xml,ultimate lightning,FDAADAFMBAADHCDKABEHJAAAAAAAALGAAIGAAEAAAA__AA__AAAA__AA__AAAAAAAAAAASAAATARAARWAASAXPPPTOAAVPQUNNYQ,271,Player 1,Player 2,1,1
ultimate.2003.09.02.2407,.gsn,ultimate lightning,AAAAADBDAAAAAAAFMGBAAAHAAAFAAHGDELJICEKDAA__AA__AAAA__AA__AASAXAQAWASAUARAVAOATATAPARAPANAPAYAQANAPA,131,red,blue,3,1
ultimate.2003.09.01.4246,.gsn,ultimate lightning,AAEACEAAAAAFDMKJADAAADLAGBAHDAAIAHAFGABAAA__AA__AAAA__AA__AAAPAXAAVPAATTOWQRPAUSPAANAAAAANQAAYAAAARS,164,red,blue,1,2
